Time	AX	AY	AZ
0.0000	0.0300	0.9900	0.4500
0.0000	-0.5400	1.1000	0.3700
1.0000	-0.6700	0.0300	-0.0800
1.0000	0.0500	0.5300	0.8700
2.0000	1.5900	0.6900	0.0600
3.0000	0.2800	0.4400	0.9500
3.0000	0.1300	0.3800	0.9700
4.0000	0.2000	-0.2400	1.5500
4.0000	0.0800	-0.1500	0.9200
5.0000	0.0600	-0.2800	0.9400
5.0000	-0.0400	-0.2200	0.9100
6.0000	0.3400	-0.1400	0.9800
7.0000	-0.0600	-0.3300	0.9400
7.0000	-0.0100	-0.2700	1.1100
8.0000	-0.0300	-0.2900	1.0600
8.0000	-0.0300	-0.2400	0.9900
9.0000	-0.0800	-0.3500	0.9900
9.0000	-0.0100	-0.2500	1.0800
10.0000	-0.0200	-0.2400	1.0800
10.0000	-0.0000	-0.2400	1.0200
11.0000	0.0000	-0.2500	1.0800
12.0000	-0.0200	-0.2400	1.0100
12.0000	-0.0300	-0.2000	1.0400
13.0000	-0.0100	-0.2700	1.0600
13.0000	-0.0100	-0.2400	1.0500
14.0000	0.0100	-0.2200	1.0700
14.0000	-0.2900	-0.4700	0.9500
15.0000	-0.0300	-0.3200	1.0400
15.0000	-0.0300	-0.2800	1.0000
16.0000	-0.0100	-0.2800	1.0400
17.0000	-0.0000	-0.2400	1.0000
17.0000	-0.0400	-0.2500	1.0400
18.0000	0.0500	0.1500	1.1500
18.0000	-0.0100	-0.0400	1.0900
19.0000	-0.0200	-0.2900	1.0200
19.0000	0.0100	-0.3300	0.9700
20.0000	-0.1500	-0.1900	1.0500
20.0000	-0.1100	-0.1400	1.0700
21.0000	0.1000	-0.3700	0.9900
21.0000	-0.0400	-0.3000	0.9800
22.0000	-0.0200	-0.2600	1.0400
23.0000	0.0300	-0.2400	0.9900
23.0000	-0.1700	-0.3800	1.0100
24.0000	-0.0100	-0.2700	1.0300
24.0000	-0.0200	-0.2800	1.0000
25.0000	-0.0200	-0.2000	1.0100
25.0000	0.1000	-0.1500	0.9800
26.0000	0.0500	-0.1700	1.5300
26.0000	-0.2100	-0.4200	0.5600
27.0000	-0.4800	-0.5300	0.4000
28.0000	-0.2800	-1.1700	0.3400
28.0000	-0.0800	0.9600	1.0700
29.0000	-0.0800	0.9800	0.4700
