Time	GX	GY	GZ
0.0000	47.7900	14.0400	6.7700
0.0000	16.9700	45.1700	-216.6100
1.0000	150.6300	-607.2400	18.8000
1.0000	51.0900	-10.0700	-37.6000
2.0000	76.5400	259.2800	-20.6900
3.0000	-11.6000	18.3700	-1.1600
3.0000	-1.6500	-20.6300	6.5900
4.0000	-112.5500	26.5500	-181.4000
4.0000	-3.7200	-17.4600	21.7300
5.0000	8.0600	-1.8300	6.4100
5.0000	2.5600	4.7600	27.3400
6.0000	15.8700	43.5200	-16.1100
7.0000	8.1800	18.9800	-3.2300
7.0000	25.8200	35.9500	-20.8100
8.0000	-12.5100	-18.6200	5.8600
8.0000	5.8600	-12.2700	10.1300
9.0000	-2.1400	-1.4000	19.6500
9.0000	-58.0400	29.0500	-21.9100
10.0000	5.6800	-16.3000	2.2600
10.0000	-11.7200	20.2000	8.7300
11.0000	22.4600	-12.4500	4.5800
12.0000	28.0200	7.0200	-127.3800
12.0000	-27.5300	3.6600	19.4100
13.0000	-59.7500	6.9000	30.8200
13.0000	-8.8500	-11.7800	6.3500
14.0000	-25.7600	26.2500	15.4400
14.0000	-6.5900	8.0600	9.9500
15.0000	44.0100	-24.9600	-17.3300
15.0000	5.0700	-1.8300	22.0900
16.0000	-21.7300	33.3900	12.9400
17.0000	2.5600	-6.1600	-49.3200
17.0000	15.3200	-9.8900	-5.8000
18.0000	5.1300	18.6800	-0.3100
18.0000	23.3800	-12.0200	6.7100
19.0000	5.8000	6.4100	-21.6100
19.0000	17.2100	-5.8000	34.7900
20.0000	2.5000	23.1900	-39.7300
20.0000	-4.9400	-5.9800	-46.5100
21.0000	-14.6500	-12.0200	-64.8200
21.0000	19.3500	16.2400	-65.9200
22.0000	-29.3000	9.7000	26.7900
23.0000	1.7700	-3.1700	-10.1300
23.0000	46.7500	0.1800	-42.5400
24.0000	-8.9100	6.2900	-55.4800
24.0000	8.1800	-30.7600	54.7500
25.0000	8.3000	-51.7000	23.8000
25.0000	5.3700	1.5300	-21.1200
26.0000	14.4700	-151.1800	79.2200
26.0000	-44.3700	-25.0900	-21.0600
27.0000	6.7100	17.8200	-18.0100
28.0000	1.2200	-24.1100	111.7600
28.0000	8.6100	104.4900	112.1200
29.0000	34.4200	-55.6600	-17.8200
