Time	AX	AY	AZ
0.0000	0.21	0.64	0.76
0.0000	0.18	0.63	0.80
1.0000	0.52	0.48	0.72
1.0000	0.25	0.66	0.62
2.0000	-0.29	0.60	0.84
2.0000	-0.32	0.51	0.83
3.0000	0.18	0.64	0.68
4.0000	0.22	0.48	0.87
4.0000	-0.54	0.68	0.37
5.0000	-0.47	0.30	0.77
5.0000	0.07	0.69	0.55
6.0000	0.64	0.52	0.81
6.0000	-0.49	0.64	0.61
7.0000	-0.82	0.47	0.50
7.0000	0.73	0.54	0.38
8.0000	0.70	0.64	0.44
9.0000	-0.78	0.61	0.32
9.0000	-0.64	0.71	0.31
10.0000	0.79	0.52	0.45
10.0000	-0.43	0.74	0.42
11.0000	-0.73	0.52	0.54
11.0000	0.65	0.69	0.41
12.0000	-0.00	0.72	0.75
12.0000	-0.48	0.56	0.59
13.0000	-0.41	0.43	0.81
