Time	GX	GY	GZ
0.0000	0.31	3.91	0.43
0.0000	6.59	-6.90	14.53
1.0000	6.29	-0.12	1.59
1.0000	-6.47	-1.53	-90.64
2.0000	-17.03	18.49	-69.03
2.0000	0.12	-3.05	7.93
3.0000	9.77	11.29	119.75
4.0000	5.68	-3.11	-5.07
4.0000	31.98	-117.68	-121.03
5.0000	-12.45	2.38	65.55
5.0000	-11.29	-47.12	235.47
6.0000	32.10	4.39	-174.68
6.0000	-79.47	-105.35	-5.43
7.0000	26.00	146.18	196.04
7.0000	-17.03	7.26	185.12
8.0000	-25.33	29.17	-244.02
9.0000	76.17	-78.31	-162.05
9.0000	-1.40	87.34	212.46
10.0000	-3.48	13.79	73.06
10.0000	13.12	-78.98	-141.05
11.0000	-4.33	19.17	61.52
11.0000	-23.32	20.45	111.21
12.0000	-26.73	-8.48	-185.79
12.0000	-22.28	-27.28	-13.00
13.0000	18.86	-12.27	20.14
