Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ 
2025-11-12 22:1:25,0.21,0.64,0.76,0.31,3.91,0.43
 2025-11-12 22:1:25,0.18,0.63,0.80,6.59,-6.90,14.53
2025-11-12 22:1:26,0.52,0.48,0.72,6.29,-0.12,1.59
2025-11-12 22:1:26,0.25,0.66,0.62,-6.47,-1.53,-90.64
2025-11-12 22:1:27,-0.29,0.60,0.84,-17.03,18.49,-69.03
2025-11-12 22:1:27,-0.32,0.51,0.83,0.12,-3.05,7.93
2025-11-12 22:1:28,0.18,0.64,0.68,9.77,11.29,119.75
2025-11-12 22:1:29,0.22,0.48,0.87,5.68,-3.11,-5.07
2025-11-12 22:1:29,-0.54,0.68,0.37,31.98,-117.68,-121.03
2025-11-12 22:1:30,-0.47,0.30,0.77,-12.45,2.38,65.55
2025-11-12 22:1:30,0.07,0.69,0.55,-11.29,-47.12,235.47
2025-11-12 22:1:31,0.64,0.52,0.81,32.10,4.39,-174.68
2025-11-12 22:1:31,-0.49,0.64,0.61,-79.47,-105.35,-5.43
2025-11-12 22:1:32,-0.82,0.47,0.50,26.00,146.18,196.04
2025-11-12 22:1:32,0.73,0.54,0.38,-17.03,7.26,185.12
2025-11-12 22:1:33,0.70,0.64,0.44,-25.33,29.17,-244.02
2025-11-12 22:1:34,-0.78,0.61,0.32,76.17,-78.31,-162.05
2025-11-12 22:1:34,-0.64,0.71,0.31,-1.40,87.34,212.46
2025-11-12 22:1:35,0.79,0.52,0.45,-3.48,13.79,73.06
2025-11-12 22:1:35,-0.43,0.74,0.42,13.12,-78.98,-141.05
2025-11-12 22:1:36,-0.73,0.52,0.54,-4.33,19.17,61.52
2025-11-12 22:1:36,0.65,0.69,0.41,-23.32,20.45,111.21
2025-11-12 22:1:37,-0.00,0.72,0.75,-26.73,-8.48,-185.79
2025-11-12 22:1:37,-0.48,0.56,0.59,-22.28,-27.28,-13.00
2025-11-12 22:1:38,-0.41,0.43,0.81,18.86,-12.27,20.14
