Time	AX	AY	AZ
0.0000	-1.0000	0.4900	0.5800
0.0000	-1.0700	-0.2800	-0.5500
1.0000	0.0500	0.3600	1.0200
1.0000	-0.2000	0.2700	1.0000
2.0000	0.1200	0.1500	1.0600
2.0000	0.1700	-0.1100	0.8800
3.0000	0.1400	-0.3400	1.6600
3.0000	0.0500	0.1400	0.1700
4.0000	0.0000	-0.1000	1.0100
5.0000	0.0700	-0.0700	1.0300
5.0000	0.0200	-0.1300	1.0400
6.0000	0.0300	-0.1300	1.0500
6.0000	0.0700	-0.1800	1.2700
7.0000	-0.0200	-0.2200	1.3600
7.0000	-0.0600	-0.1500	1.0300
8.0000	0.5200	0.1800	1.0100
8.0000	0.1100	-0.2400	1.0700
9.0000	0.1100	-0.1000	1.2300
10.0000	0.0900	-0.1200	1.0500
10.0000	0.0600	-0.1000	0.9400
11.0000	-0.4000	-0.3200	0.8300
11.0000	0.1000	-0.1500	1.1100
12.0000	0.1200	-0.0900	1.2800
12.0000	-0.1900	-0.0600	0.9800
13.0000	0.2600	-0.1500	1.2700
13.0000	-0.0300	-0.1300	1.0100
14.0000	0.0500	-0.1500	1.1600
15.0000	-0.2200	-0.2300	0.9900
15.0000	-0.0400	-0.1400	1.0500
16.0000	-0.5700	-0.5600	1.2400
16.0000	-0.0100	-0.1500	0.9600
17.0000	0.0600	-0.1100	1.1100
17.0000	0.0200	-0.1300	1.1900
18.0000	0.0100	-0.1200	1.0200
19.0000	0.0500	-0.1200	1.1000
19.0000	-0.2600	-0.1500	1.0100
20.0000	0.0300	-0.1700	1.0400
20.0000	-0.1800	0.3800	1.3500
21.0000	0.1500	0.3900	0.9100
21.0000	0.2700	0.5700	1.0000
22.0000	-0.1200	-0.1100	0.7400
23.0000	0.1000	-0.1000	1.0000
23.0000	0.1300	-0.7500	-0.2600
24.0000	-0.2700	1.0500	0.5400
24.0000	0.7500	0.5500	0.0500
25.0000	0.1400	0.7700	0.8200
25.0000	0.0400	0.9100	0.5700
