Time	GX	GY	GZ
0.0000	110.0500	-218.9300	-314.2700
0.0000	208.5000	-46.5700	-46.2000
1.0000	-4.3900	6.8400	-1.5300
1.0000	44.1900	-8.0000	-15.2600
2.0000	-47.2400	-41.2000	-46.2000
2.0000	15.9300	46.6900	-9.5800
3.0000	11.1700	44.3100	-35.1600
3.0000	28.4400	-16.0500	-55.5400
4.0000	10.0100	3.6600	-17.8800
5.0000	-10.1300	-8.0000	-5.1300
5.0000	-18.5500	7.0200	-11.7800
6.0000	-3.2300	10.1300	-37.9600
6.0000	33.2000	-134.9500	34.4800
7.0000	4.4600	-161.7400	-34.6100
7.0000	32.9600	-51.1500	-38.3300
8.0000	98.4500	-102.9700	-107.7900
8.0000	110.6600	-5.5500	-153.9900
9.0000	52.9200	10.1900	-128.3000
10.0000	-30.8800	80.3200	-17.8200
10.0000	1.2200	-22.1600	51.7600
11.0000	-37.1100	-61.5200	97.8400
11.0000	-6.2900	18.0700	-23.1900
12.0000	-91.0000	57.3700	11.2900
12.0000	-34.4800	7.4500	21.6100
13.0000	101.3200	-109.3700	22.6400
13.0000	14.4000	57.1900	54.1400
14.0000	31.6200	76.6000	1.0400
15.0000	-22.6400	-3.6000	-9.0300
15.0000	24.2900	-36.5000	-110.1700
16.0000	66.5900	-118.5300	-15.0800
16.0000	-40.9500	38.5700	14.3400
17.0000	-30.8800	42.5400	72.5700
17.0000	-27.1600	-73.9700	42.6000
18.0000	20.4500	5.4900	-15.5000
19.0000	-17.0900	54.1400	-26.3100
19.0000	19.0400	17.5200	-63.3500
20.0000	3.5400	-5.6200	-48.0300
20.0000	72.8800	26.0600	77.1500
21.0000	-3.3600	-23.5000	-1.7100
21.0000	17.0900	-10.2500	-16.9100
22.0000	-25.3900	-18.1900	-47.3000
23.0000	20.8100	-22.2800	-15.5000
23.0000	-338.5600	-167.8500	-140.3200
24.0000	-24.1700	12.5100	52.4900
24.0000	486.8200	-50.2900	-114.0700
25.0000	23.1900	-48.9500	-1.8900
25.0000	-9.8300	2.4400	-1.2200
