Time	AX	AY	AZ
0.0000	0.2400	0.7100	0.3500
1.0000	0.2200	1.0000	0.4700
1.0000	-0.1000	0.7300	0.7100
2.0000	0.5000	2.1700	0.4800
2.0000	0.8300	0.3000	0.0600
3.0000	0.4500	0.0900	0.6900
4.0000	0.5400	-0.1300	0.8000
4.0000	0.4600	-0.2300	0.9000
5.0000	0.2800	-0.2600	1.1500
5.0000	0.0600	-0.2700	1.0000
6.0000	0.0200	-0.3100	1.0000
6.0000	0.0200	-0.2300	0.8500
7.0000	0.0200	-0.1900	0.9900
7.0000	0.0400	-0.2100	1.0300
8.0000	0.0100	-0.2300	1.0200
8.0000	-0.0200	-0.2700	1.0200
9.0000	-0.0900	-0.2900	0.8800
10.0000	-0.8700	0.1300	0.1800
10.0000	-1.2500	-0.2600	0.1600
11.0000	-1.1700	0.4300	0.3000
11.0000	-0.4000	-0.3400	1.0300
12.0000	-0.0100	-0.2500	1.0700
12.0000	0.5300	0.3400	1.2000
13.0000	0.6100	-0.2900	0.5900
13.0000	0.6400	0.9500	0.0000
14.0000	0.5700	-0.4200	-0.0300
15.0000	0.0300	-1.4500	0.7700
15.0000	0.2600	-0.1800	1.1500
16.0000	0.1500	-0.1300	1.0900
16.0000	-0.1400	0.1300	1.0900
17.0000	-0.3500	-0.1500	1.4100
17.0000	-0.5800	0.9800	0.2100
18.0000	0.8200	0.8400	0.1600
18.0000	0.0700	-0.2100	2.1000
19.0000	0.0700	-0.0300	0.8000
20.0000	0.3600	-0.6900	0.7200
20.0000	0.3400	-0.7600	0.3600
21.0000	-0.0400	-0.8900	-0.0300
21.0000	-0.2000	-0.6600	1.1600
22.0000	0.1800	-0.3100	1.0200
22.0000	0.1500	-0.1700	1.1000
23.0000	-0.1100	-0.1100	1.0400
24.0000	0.0200	-0.6400	1.3000
24.0000	0.6400	-0.5500	0.7400
25.0000	0.3900	-0.4400	0.6900
25.0000	0.4200	-0.6500	0.6800
26.0000	0.3200	-0.3400	-0.3600
26.0000	-0.2700	0.7900	1.1500
27.0000	-0.0400	0.8900	0.4300
27.0000	-0.0000	0.9200	0.5100
28.0000	-0.0700	0.9200	0.4400
