Time	GX	GY	GZ
0.0000	1.5300	-8.0000	11.6600
1.0000	7.5700	69.4000	9.7000
1.0000	-13.9200	-20.2600	9.2200
2.0000	265.9900	332.0300	-96.1300
2.0000	-490.9700	-471.0100	123.4700
3.0000	-33.5700	27.6500	22.2200
4.0000	-4.5800	7.5100	-5.6200
4.0000	11.0500	-5.4300	27.8300
5.0000	25.7000	182.1900	-30.2100
5.0000	-5.0700	4.4600	5.0700
6.0000	-3.5400	-5.5500	10.1900
6.0000	-1.0400	4.0900	-9.2800
7.0000	0.2400	2.3800	-37.8400
7.0000	-4.7600	-2.7500	27.7700
8.0000	8.3600	16.9700	-10.9900
8.0000	-7.4500	0.8500	-2.2000
9.0000	-61.1000	77.2100	-8.2400
10.0000	41.3800	-1.1000	-18.7400
10.0000	3.6600	-21.4200	36.6800
11.0000	-52.4900	-26.6700	145.7500
11.0000	-5.5500	-171.8100	-71.4700
12.0000	-16.5400	-87.8300	-84.9000
12.0000	45.4700	-141.0500	22.5200
13.0000	45.1700	-72.0200	47.2400
13.0000	79.5300	13.7300	22.1600
14.0000	53.9600	-5.0000	26.6100
15.0000	80.6900	-104.4900	-59.5100
15.0000	62.4400	-1.9500	54.5700
16.0000	29.0500	76.6000	-58.1100
16.0000	49.6200	5.4900	31.2500
17.0000	12.2700	23.5000	-28.0800
17.0000	36.5000	39.1800	-44.3700
18.0000	-38.7000	134.1600	217.1000
18.0000	-279.4800	156.3100	41.3200
19.0000	-4.0900	40.7100	-34.0000
20.0000	-20.8100	-46.3300	-8.4800
20.0000	-115.1100	26.1800	82.9500
21.0000	49.9900	29.1100	-56.3400
21.0000	146.5500	-161.8700	120.7900
22.0000	-0.1800	3.7200	-68.1800
22.0000	-7.5700	17.7000	-35.7700
23.0000	-3.2300	21.0000	-19.9600
24.0000	-96.6200	-59.8100	-48.7100
24.0000	17.2700	-14.2800	-6.2900
25.0000	20.5700	-13.6100	11.6600
25.0000	-22.0300	-8.6100	5.8000
26.0000	-26.6100	-103.2700	332.2100
26.0000	-0.9800	109.0100	13.4300
27.0000	14.2200	-2.0800	13.9800
27.0000	-20.0200	-22.6400	-0.0600
28.0000	1.1600	-14.9500	-1.1000
