Time	AX	AY	AZ
0.0000	0.1300	0.8500	-0.1700
0.0000	0.0800	1.0900	0.1900
1.0000	0.3800	0.3900	0.7900
2.0000	0.8100	-0.1400	0.7300
2.0000	0.0800	0.8500	0.5900
3.0000	0.2100	0.8300	0.4800
3.0000	0.2500	0.8000	0.6500
4.0000	-0.2100	0.1500	1.1100
4.0000	-0.1200	0.2400	1.0100
5.0000	-0.1200	0.2500	0.9900
5.0000	-0.1800	0.2600	1.0100
6.0000	-0.2500	0.1200	1.0000
7.0000	-0.1300	0.2600	1.0200
7.0000	-0.1500	0.2600	1.0500
8.0000	-0.1400	0.3500	0.9900
8.0000	-0.0100	0.1000	1.0300
9.0000	-0.2100	-0.0300	1.0500
9.0000	-0.2300	0.0800	1.1100
10.0000	-0.1600	0.2600	1.0200
11.0000	-0.1600	0.2600	1.0000
11.0000	-0.1200	0.2600	1.0300
12.0000	-0.2000	0.2400	0.9400
12.0000	-0.2700	-0.4600	1.1000
13.0000	-0.2100	-0.1600	1.1200
13.0000	-0.1500	-0.0200	1.0700
14.0000	0.0700	0.3200	1.0500
14.0000	-0.1900	-0.0100	1.1100
15.0000	-0.2500	0.1500	1.0600
16.0000	-0.0200	0.3500	1.0000
16.0000	-0.1500	0.1000	1.0700
17.0000	-0.0900	0.2000	1.0400
17.0000	-0.1800	0.2400	1.0100
18.0000	-0.0100	0.2200	1.0000
18.0000	-0.1800	-0.0600	1.1800
19.0000	-0.1200	0.0400	1.0800
19.0000	-0.1300	0.1000	1.0400
20.0000	0.0100	0.2900	1.0900
21.0000	-0.2100	0.3500	1.0000
21.0000	-0.0800	0.2900	0.9800
22.0000	-0.2000	0.2700	1.0000
22.0000	-0.2300	0.3100	1.0300
23.0000	-0.1700	0.2500	0.9800
23.0000	-0.1000	0.2800	1.0400
24.0000	-0.3600	0.2700	1.0600
24.0000	-0.1300	0.3100	1.0700
25.0000	0.2900	-0.0300	0.9400
26.0000	0.4100	0.2100	1.0700
26.0000	0.7900	0.0600	1.1900
27.0000	0.3200	-0.3300	0.3000
27.0000	0.0300	0.6200	0.2900
28.0000	0.0100	0.7000	0.8500
28.0000	0.0200	0.5200	0.8600
29.0000	-0.2300	0.5300	0.6400
29.0000	0.0500	0.6600	0.5600
30.0000	-0.0200	0.7600	0.2000
30.0000	-0.0500	0.9800	0.2600
31.0000	0.0700	0.8500	0.4900
32.0000	0.1300	0.7300	1.2700
32.0000	0.3600	0.4900	0.7900
33.0000	-0.1600	0.4700	0.5900
33.0000	-0.1500	1.2900	0.5600
34.0000	0.2000	0.6800	0.7600
34.0000	0.1100	0.6800	0.7900
35.0000	0.1700	0.7500	0.7200
35.0000	0.1800	0.7100	0.7100
36.0000	0.1900	0.7100	0.7200
36.0000	0.0000	0.9700	0.6700
