Time	GX	GY	GZ
0.0000	-2.5600	12.7000	-2.6900
0.0000	-59.4500	5.0700	-21.3600
1.0000	3.8500	-20.8100	363.9500
2.0000	-30.8200	-16.0500	-3.7200
2.0000	0.5500	-34.2400	-0.9200
3.0000	-7.6300	78.0600	-15.8100
3.0000	-4.2100	-10.0700	19.7800
4.0000	-2.9300	-14.8300	-12.7600
4.0000	-21.4800	7.5100	10.7400
5.0000	-7.5100	13.7900	32.2300
5.0000	-10.2500	-16.7800	-13.2400
6.0000	-5.6800	-14.5900	-29.2400
7.0000	-4.7000	-7.8700	-17.2700
7.0000	3.9700	-17.1500	-8.1800
8.0000	18.7400	9.7000	21.3600
8.0000	50.1100	-128.4800	-356.3800
9.0000	171.4500	-230.6500	-1127.3200
9.0000	66.2800	-218.5700	-677.6700
10.0000	25.2100	-32.2900	-339.0500
11.0000	-13.6100	-16.9700	-43.3300
11.0000	-20.6300	60.6700	177.1900
12.0000	-11.0500	10.0700	64.2700
12.0000	-241.6400	397.7700	1549.5600
13.0000	-187.5600	279.6000	1272.1600
13.0000	-124.6900	242.2500	895.8100
14.0000	4.1500	-43.9500	-76.1100
14.0000	151.5500	-266.4800	-1028.7500
15.0000	20.3200	-146.9700	-654.1100
16.0000	20.8700	13.7300	-52.2500
16.0000	-149.9600	219.2400	791.7500
17.0000	-113.1000	155.2100	569.3400
17.0000	-31.9200	68.7300	285.0300
18.0000	40.2200	-1.1000	-139.5300
18.0000	179.0800	-312.4400	-996.7000
19.0000	146.8500	-218.8100	-862.6100
19.0000	73.4300	-146.9100	-515.9900
20.0000	-17.7600	-19.3500	6.9600
21.0000	-6.3500	16.4800	26.2500
21.0000	0.9800	-24.0500	-54.5700
22.0000	-3.8500	10.9900	0.2400
22.0000	-35.2200	-11.7800	-0.2400
23.0000	18.1900	-4.8800	15.7500
23.0000	29.3000	14.9500	-26.1200
24.0000	15.9900	-5.0700	-23.5000
24.0000	11.5400	13.9800	11.7800
25.0000	20.4500	15.8100	63.4200
26.0000	-11.2300	-12.7600	-30.9400
26.0000	43.5800	43.7600	-2.1400
27.0000	26.8600	13.7900	49.1300
27.0000	6.0400	-49.2600	10.3800
28.0000	218.6300	157.7100	-184.2700
28.0000	17.5200	-31.0700	27.8900
29.0000	6.8400	28.9300	26.8600
29.0000	19.5300	-26.3700	9.0300
30.0000	-98.6900	13.9800	-22.7100
30.0000	44.8000	-82.9500	49.9900
31.0000	9.5200	-11.2300	10.3100
32.0000	-59.7500	36.0700	6.5300
32.0000	-0.2400	-7.7500	-9.5800
33.0000	-90.3300	72.5100	333.0100
33.0000	-76.0500	13.5500	-66.3500
34.0000	19.2900	27.0400	-27.4000
34.0000	0.3100	5.0700	15.0800
35.0000	15.3800	-26.3700	-15.8700
35.0000	6.1600	-6.9000	-8.1800
36.0000	-6.9000	9.0300	4.9400
36.0000	-13.7900	15.0800	-10.2500
