Time, Ax, Ay, Az, Gx, Gy, Gz
2025-11-12 22:24:13,0.13,0.85,-0.17,-2.56,12.70,-2.69
2025-11-12 22:24:13,0.08,1.09,0.19,-59.45,5.07,-21.36
2025-11-12 22:24:14,0.38,0.39,0.79,3.85,-20.81,363.95
2025-11-12 22:24:15,0.81,-0.14,0.73,-30.82,-16.05,-3.72
2025-11-12 22:24:15,0.08,0.85,0.59,0.55,-34.24,-0.92
2025-11-12 22:24:16,0.21,0.83,0.48,-7.63,78.06,-15.81
2025-11-12 22:24:16,0.25,0.80,0.65,-4.21,-10.07,19.78
2025-11-12 22:24:17,-0.21,0.15,1.11,-2.93,-14.83,-12.76
2025-11-12 22:24:17,-0.12,0.24,1.01,-21.48,7.51,10.74
2025-11-12 22:24:18,-0.12,0.25,0.99,-7.51,13.79,32.23
2025-11-12 22:24:18,-0.18,0.26,1.01,-10.25,-16.78,-13.24
2025-11-12 22:24:19,-0.25,0.12,1.00,-5.68,-14.59,-29.24
2025-11-12 22:24:20,-0.13,0.26,1.02,-4.70,-7.87,-17.27
2025-11-12 22:24:20,-0.15,0.26,1.05,3.97,-17.15,-8.18
2025-11-12 22:24:21,-0.14,0.35,0.99,18.74,9.70,21.36
2025-11-12 22:24:21,-0.01,0.10,1.03,50.11,-128.48,-356.38
2025-11-12 22:24:22,-0.21,-0.03,1.05,171.45,-230.65,-1127.32
2025-11-12 22:24:22,-0.23,0.08,1.11,66.28,-218.57,-677.67
2025-11-12 22:24:23,-0.16,0.26,1.02,25.21,-32.29,-339.05
2025-11-12 22:24:24,-0.16,0.26,1.00,-13.61,-16.97,-43.33
2025-11-12 22:24:24,-0.12,0.26,1.03,-20.63,60.67,177.19
2025-11-12 22:24:25,-0.20,0.24,0.94,-11.05,10.07,64.27
2025-11-12 22:24:25,-0.27,-0.46,1.10,-241.64,397.77,1549.56
2025-11-12 22:24:26,-0.21,-0.16,1.12,-187.56,279.60,1272.16
2025-11-12 22:24:26,-0.15,-0.02,1.07,-124.69,242.25,895.81
2025-11-12 22:24:27,0.07,0.32,1.05,4.15,-43.95,-76.11
2025-11-12 22:24:27,-0.19,-0.01,1.11,151.55,-266.48,-1028.75
2025-11-12 22:24:28,-0.25,0.15,1.06,20.32,-146.97,-654.11
2025-11-12 22:24:29,-0.02,0.35,1.00,20.87,13.73,-52.25
2025-11-12 22:24:29,-0.15,0.10,1.07,-149.96,219.24,791.75
2025-11-12 22:24:30,-0.09,0.20,1.04,-113.10,155.21,569.34
2025-11-12 22:24:30,-0.18,0.24,1.01,-31.92,68.73,285.03
2025-11-12 22:24:31,-0.01,0.22,1.00,40.22,-1.10,-139.53
2025-11-12 22:24:31,-0.18,-0.06,1.18,179.08,-312.44,-996.70
2025-11-12 22:24:32,-0.12,0.04,1.08,146.85,-218.81,-862.61
2025-11-12 22:24:32,-0.13,0.10,1.04,73.43,-146.91,-515.99
2025-11-12 22:24:33,0.01,0.29,1.09,-17.76,-19.35,6.96
2025-11-12 22:24:34,-0.21,0.35,1.00,-6.35,16.48,26.25
2025-11-12 22:24:34,-0.08,0.29,0.98,0.98,-24.05,-54.57
2025-11-12 22:24:35,-0.20,0.27,1.00,-3.85,10.99,0.24
2025-11-12 22:24:35,-0.23,0.31,1.03,-35.22,-11.78,-0.24
2025-11-12 22:24:36,-0.17,0.25,0.98,18.19,-4.88,15.75
2025-11-12 22:24:36,-0.10,0.28,1.04,29.30,14.95,-26.12
2025-11-12 22:24:37,-0.36,0.27,1.06,15.99,-5.07,-23.50
2025-11-12 22:24:37,-0.13,0.31,1.07,11.54,13.98,11.78
2025-11-12 22:24:38,0.29,-0.03,0.94,20.45,15.81,63.42
2025-11-12 22:24:39,0.41,0.21,1.07,-11.23,-12.76,-30.94
2025-11-12 22:24:39,0.79,0.06,1.19,43.58,43.76,-2.14
2025-11-12 22:24:40,0.32,-0.33,0.30,26.86,13.79,49.13
2025-11-12 22:24:40,0.03,0.62,0.29,6.04,-49.26,10.38
2025-11-12 22:24:41,0.01,0.70,0.85,218.63,157.71,-184.27
2025-11-12 22:24:41,0.02,0.52,0.86,17.52,-31.07,27.89
2025-11-12 22:24:42,-0.23,0.53,0.64,6.84,28.93,26.86
2025-11-12 22:24:42,0.05,0.66,0.56,19.53,-26.37,9.03
2025-11-12 22:24:43,-0.02,0.76,0.20,-98.69,13.98,-22.71
2025-11-12 22:24:43,-0.05,0.98,0.26,44.80,-82.95,49.99
2025-11-12 22:24:44,0.07,0.85,0.49,9.52,-11.23,10.31
2025-11-12 22:24:45,0.13,0.73,1.27,-59.75,36.07,6.53
2025-11-12 22:24:45,0.36,0.49,0.79,-0.24,-7.75,-9.58
2025-11-12 22:24:46,-0.16,0.47,0.59,-90.33,72.51,333.01
2025-11-12 22:24:46,-0.15,1.29,0.56,-76.05,13.55,-66.35
2025-11-12 22:24:47,0.20,0.68,0.76,19.29,27.04,-27.40
2025-11-12 22:24:47,0.11,0.68,0.79,0.31,5.07,15.08
2025-11-12 22:24:48,0.17,0.75,0.72,15.38,-26.37,-15.87
2025-11-12 22:24:48,0.18,0.71,0.71,6.16,-6.90,-8.18
2025-11-12 22:24:49,0.19,0.71,0.72,-6.90,9.03,4.94
2025-11-12 22:24:49,0.00,0.97,0.67,-13.79,15.08,-10.25
