Time,Ax,Ay,Az,Gx,Gy,Gz
2025-11-12 22:25:14,0.24,0.71,0.35,1.53,-8.00,11.66
2025-11-12 22:25:15,0.22,1.00,0.47,7.57,69.40,9.70
2025-11-12 22:25:15,-0.10,0.73,0.71,-13.92,-20.26,9.22
2025-11-12 22:25:16,0.50,2.17,0.48,265.99,332.03,-96.13
2025-11-12 22:25:16,0.83,0.30,0.06,-490.97,-471.01,123.47
2025-11-12 22:25:17,0.45,0.09,0.69,-33.57,27.65,22.22
2025-11-12 22:25:18,0.54,-0.13,0.80,-4.58,7.51,-5.62
2025-11-12 22:25:18,0.46,-0.23,0.90,11.05,-5.43,27.83
2025-11-12 22:25:19,0.28,-0.26,1.15,25.70,182.19,-30.21
2025-11-12 22:25:19,0.06,-0.27,1.00,-5.07,4.46,5.07
2025-11-12 22:25:20,0.02,-0.31,1.00,-3.54,-5.55,10.19
2025-11-12 22:25:20,0.02,-0.23,0.85,-1.04,4.09,-9.28
2025-11-12 22:25:21,0.02,-0.19,0.99,0.24,2.38,-37.84
2025-11-12 22:25:21,0.04,-0.21,1.03,-4.76,-2.75,27.77
2025-11-12 22:25:22,0.01,-0.23,1.02,8.36,16.97,-10.99
2025-11-12 22:25:22,-0.02,-0.27,1.02,-7.45,0.85,-2.20
2025-11-12 22:25:23,-0.09,-0.29,0.88,-61.10,77.21,-8.24
2025-11-12 22:25:24,-0.87,0.13,0.18,41.38,-1.10,-18.74
2025-11-12 22:25:24,-1.25,-0.26,0.16,3.66,-21.42,36.68
2025-11-12 22:25:25,-1.17,0.43,0.30,-52.49,-26.67,145.75
2025-11-12 22:25:25,-0.40,-0.34,1.03,-5.55,-171.81,-71.47
2025-11-12 22:25:26,-0.01,-0.25,1.07,-16.54,-87.83,-84.90
2025-11-12 22:25:26,0.53,0.34,1.20,45.47,-141.05,22.52
2025-11-12 22:25:27,0.61,-0.29,0.59,45.17,-72.02,47.24
2025-11-12 22:25:27,0.64,0.95,0.00,79.53,13.73,22.16
2025-11-12 22:25:28,0.57,-0.42,-0.03,53.96,-5.00,26.61
2025-11-12 22:25:29,0.03,-1.45,0.77,80.69,-104.49,-59.51
2025-11-12 22:25:29,0.26,-0.18,1.15,62.44,-1.95,54.57
2025-11-12 22:25:30,0.15,-0.13,1.09,29.05,76.60,-58.11
2025-11-12 22:25:30,-0.14,0.13,1.09,49.62,5.49,31.25
2025-11-12 22:25:31,-0.35,-0.15,1.41,12.27,23.50,-28.08
2025-11-12 22:25:31,-0.58,0.98,0.21,36.50,39.18,-44.37
2025-11-12 22:25:32,0.82,0.84,0.16,-38.70,134.16,217.10
2025-11-12 22:25:32,0.07,-0.21,2.10,-279.48,156.31,41.32
2025-11-12 22:25:33,0.07,-0.03,0.80,-4.09,40.71,-34.00
2025-11-12 22:25:34,0.36,-0.69,0.72,-20.81,-46.33,-8.48
2025-11-12 22:25:34,0.34,-0.76,0.36,-115.11,26.18,82.95
2025-11-12 22:25:35,-0.04,-0.89,-0.03,49.99,29.11,-56.34
2025-11-12 22:25:35,-0.20,-0.66,1.16,146.55,-161.87,120.79
2025-11-12 22:25:36,0.18,-0.31,1.02,-0.18,3.72,-68.18
2025-11-12 22:25:36,0.15,-0.17,1.10,-7.57,17.70,-35.77
2025-11-12 22:25:37,-0.11,-0.11,1.04,-3.23,21.00,-19.96
2025-11-12 22:25:38,0.02,-0.64,1.30,-96.62,-59.81,-48.71
2025-11-12 22:25:38,0.64,-0.55,0.74,17.27,-14.28,-6.29
2025-11-12 22:25:39,0.39,-0.44,0.69,20.57,-13.61,11.66
2025-11-12 22:25:39,0.42,-0.65,0.68,-22.03,-8.61,5.80
2025-11-12 22:25:40,0.32,-0.34,-0.36,-26.61,-103.27,332.21
2025-11-12 22:25:40,-0.27,0.79,1.15,-0.98,109.01,13.43
2025-11-12 22:25:41,-0.04,0.89,0.43,14.22,-2.08,13.98
2025-11-12 22:25:41,-0.00,0.92,0.51,-20.02,-22.64,-0.06
2025-11-12 22:25:42,-0.07,0.92,0.44,1.16,-14.95,-1.10
