Time, Ax, Ay, Az, Gx, Gy, Gz
2025-11-12 22:26:34,0.03,0.99,0.45,47.79,14.04,6.77
2025-11-12 22:26:34,-0.54,1.10,0.37,16.97,45.17,-216.61
2025-11-12 22:26:35,-0.67,0.03,-0.08,150.63,-607.24,18.80
2025-11-12 22:26:35,0.05,0.53,0.87,51.09,-10.07,-37.60
2025-11-12 22:26:36,1.59,0.69,0.06,76.54,259.28,-20.69
2025-11-12 22:26:37,0.28,0.44,0.95,-11.60,18.37,-1.16
2025-11-12 22:26:37,0.13,0.38,0.97,-1.65,-20.63,6.59
2025-11-12 22:26:38,0.20,-0.24,1.55,-112.55,26.55,-181.40
2025-11-12 22:26:38,0.08,-0.15,0.92,-3.72,-17.46,21.73
2025-11-12 22:26:39,0.06,-0.28,0.94,8.06,-1.83,6.41
2025-11-12 22:26:39,-0.04,-0.22,0.91,2.56,4.76,27.34
2025-11-12 22:26:40,0.34,-0.14,0.98,15.87,43.52,-16.11
2025-11-12 22:26:41,-0.06,-0.33,0.94,8.18,18.98,-3.23
2025-11-12 22:26:41,-0.01,-0.27,1.11,25.82,35.95,-20.81
2025-11-12 22:26:42,-0.03,-0.29,1.06,-12.51,-18.62,5.86
2025-11-12 22:26:42,-0.03,-0.24,0.99,5.86,-12.27,10.13
2025-11-12 22:26:43,-0.08,-0.35,0.99,-2.14,-1.40,19.65
2025-11-12 22:26:43,-0.01,-0.25,1.08,-58.04,29.05,-21.91
2025-11-12 22:26:44,-0.02,-0.24,1.08,5.68,-16.30,2.26
2025-11-12 22:26:44,-0.00,-0.24,1.02,-11.72,20.20,8.73
2025-11-12 22:26:45,0.00,-0.25,1.08,22.46,-12.45,4.58
2025-11-12 22:26:46,-0.02,-0.24,1.01,28.02,7.02,-127.38
2025-11-12 22:26:46,-0.03,-0.20,1.04,-27.53,3.66,19.41
2025-11-12 22:26:47,-0.01,-0.27,1.06,-59.75,6.90,30.82
2025-11-12 22:26:47,-0.01,-0.24,1.05,-8.85,-11.78,6.35
2025-11-12 22:26:48,0.01,-0.22,1.07,-25.76,26.25,15.44
2025-11-12 22:26:48,-0.29,-0.47,0.95,-6.59,8.06,9.95
2025-11-12 22:26:49,-0.03,-0.32,1.04,44.01,-24.96,-17.33
2025-11-12 22:26:49,-0.03,-0.28,1.00,5.07,-1.83,22.09
2025-11-12 22:26:50,-0.01,-0.28,1.04,-21.73,33.39,12.94
2025-11-12 22:26:51,-0.00,-0.24,1.00,2.56,-6.16,-49.32
2025-11-12 22:26:51,-0.04,-0.25,1.04,15.32,-9.89,-5.80
2025-11-12 22:26:52,0.05,0.15,1.15,5.13,18.68,-0.31
2025-11-12 22:26:52,-0.01,-0.04,1.09,23.38,-12.02,6.71
2025-11-12 22:26:53,-0.02,-0.29,1.02,5.80,6.41,-21.61
2025-11-12 22:26:53,0.01,-0.33,0.97,17.21,-5.80,34.79
2025-11-12 22:26:54,-0.15,-0.19,1.05,2.50,23.19,-39.73
2025-11-12 22:26:54,-0.11,-0.14,1.07,-4.94,-5.98,-46.51
2025-11-12 22:26:55,0.10,-0.37,0.99,-14.65,-12.02,-64.82
2025-11-12 22:26:55,-0.04,-0.30,0.98,19.35,16.24,-65.92
2025-11-12 22:26:56,-0.02,-0.26,1.04,-29.30,9.70,26.79
2025-11-12 22:26:57,0.03,-0.24,0.99,1.77,-3.17,-10.13
2025-11-12 22:26:57,-0.17,-0.38,1.01,46.75,0.18,-42.54
2025-11-12 22:26:58,-0.01,-0.27,1.03,-8.91,6.29,-55.48
2025-11-12 22:26:58,-0.02,-0.28,1.00,8.18,-30.76,54.75
2025-11-12 22:26:59,-0.02,-0.20,1.01,8.30,-51.70,23.80
2025-11-12 22:26:59,0.10,-0.15,0.98,5.37,1.53,-21.12
2025-11-12 22:27:0,0.05,-0.17,1.53,14.47,-151.18,79.22
2025-11-12 22:27:0,-0.21,-0.42,0.56,-44.37,-25.09,-21.06
2025-11-12 22:27:1,-0.48,-0.53,0.40,6.71,17.82,-18.01
2025-11-12 22:27:2,-0.28,-1.17,0.34,1.22,-24.11,111.76
2025-11-12 22:27:2,-0.08,0.96,1.07,8.61,104.49,112.12
2025-11-12 22:27:3,-0.08,0.98,0.47,34.42,-55.66,-17.82
